8.400000000000000522e-02
8.139999999999999458e-01
8.219999999999999529e-01
8.339999999999999636e-01
8.359999999999999654e-01
8.409999999999999698e-01
8.429999999999999716e-01
8.359999999999999654e-01
8.449999999999999734e-01
8.449999999999999734e-01
8.459999999999999742e-01
8.499999999999999778e-01
8.479999999999999760e-01
8.499999999999999778e-01
8.519999999999999796e-01
8.499999999999999778e-01
8.519999999999999796e-01
8.519999999999999796e-01
8.549999999999999822e-01
8.529999999999999805e-01
8.529999999999999805e-01
8.549999999999999822e-01
8.559999999999999831e-01
8.569999999999999840e-01
8.559999999999999831e-01
8.579999999999999849e-01
8.579999999999999849e-01
8.579999999999999849e-01
8.579999999999999849e-01
8.569999999999999840e-01
8.559999999999999831e-01
8.609999999999999876e-01
8.609999999999999876e-01
8.589999999999999858e-01
8.599999999999999867e-01
8.559999999999999831e-01
8.599999999999999867e-01
8.619999999999999885e-01
8.599999999999999867e-01
8.639999999999999902e-01
8.609999999999999876e-01
8.639999999999999902e-01
8.649999999999999911e-01
8.599999999999999867e-01
8.599999999999999867e-01
8.649999999999999911e-01
8.649999999999999911e-01
8.639999999999999902e-01
8.619999999999999885e-01
8.639999999999999902e-01
8.639999999999999902e-01
8.659999999999999920e-01
8.639999999999999902e-01
8.639999999999999902e-01
8.649999999999999911e-01
8.659999999999999920e-01
8.579999999999999849e-01
8.659999999999999920e-01
8.619999999999999885e-01
8.629999999999999893e-01
8.659999999999999920e-01
8.629999999999999893e-01
8.659999999999999920e-01
8.679999999999999938e-01
8.679999999999999938e-01
8.649999999999999911e-01
8.659999999999999920e-01
8.649999999999999911e-01
8.629999999999999893e-01
8.699999999999999956e-01
8.679999999999999938e-01
8.669999999999999929e-01
8.669999999999999929e-01
8.669999999999999929e-01
8.659999999999999920e-01
8.679999999999999938e-01
8.679999999999999938e-01
8.689999999999999947e-01
8.679999999999999938e-01
8.689999999999999947e-01
8.689999999999999947e-01
8.689999999999999947e-01
8.689999999999999947e-01
8.699999999999999956e-01
8.699999999999999956e-01
8.669999999999999929e-01
8.719999999999999973e-01
8.709999999999999964e-01
8.689999999999999947e-01
8.699999999999999956e-01
8.709999999999999964e-01
8.729999999999999982e-01
8.709999999999999964e-01
8.679999999999999938e-01
8.719999999999999973e-01
8.689999999999999947e-01
8.719999999999999973e-01
8.709999999999999964e-01
8.699999999999999956e-01
8.719999999999999973e-01
8.709999999999999964e-01
8.709999999999999964e-01
8.679999999999999938e-01
8.709999999999999964e-01
8.729999999999999982e-01
8.709999999999999964e-01
8.709999999999999964e-01
8.719999999999999973e-01
8.739999999999999991e-01
8.719999999999999973e-01
8.719999999999999973e-01
8.709999999999999964e-01
8.709999999999999964e-01
8.719999999999999973e-01
8.729999999999999982e-01
8.709999999999999964e-01
8.750000000000000000e-01
8.699999999999999956e-01
8.719999999999999973e-01
8.729999999999999982e-01
8.739999999999999991e-01
8.709999999999999964e-01
8.709999999999999964e-01
8.750000000000000000e-01
8.729999999999999982e-01
8.709999999999999964e-01
8.719999999999999973e-01
8.750000000000000000e-01
8.750000000000000000e-01
8.719999999999999973e-01
8.699999999999999956e-01
8.739999999999999991e-01
8.729999999999999982e-01
8.739999999999999991e-01
8.729999999999999982e-01
8.729999999999999982e-01
8.719999999999999973e-01
8.750000000000000000e-01
8.739999999999999991e-01
8.760000000000000009e-01
8.719999999999999973e-01
8.719999999999999973e-01
8.750000000000000000e-01
8.739999999999999991e-01
8.750000000000000000e-01
8.760000000000000009e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.739999999999999991e-01
8.709999999999999964e-01
8.750000000000000000e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.729999999999999982e-01
8.750000000000000000e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.760000000000000009e-01
8.739999999999999991e-01
8.739999999999999991e-01
8.750000000000000000e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.719999999999999973e-01
8.750000000000000000e-01
8.739999999999999991e-01
8.739999999999999991e-01
8.770000000000000018e-01
8.760000000000000009e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.760000000000000009e-01
8.760000000000000009e-01
8.739999999999999991e-01
8.739999999999999991e-01
8.750000000000000000e-01
8.750000000000000000e-01
8.780000000000000027e-01
8.739999999999999991e-01
8.770000000000000018e-01
8.729999999999999982e-01
8.760000000000000009e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.729999999999999982e-01
8.739999999999999991e-01
8.760000000000000009e-01
8.780000000000000027e-01
8.750000000000000000e-01
8.750000000000000000e-01
8.770000000000000018e-01
8.780000000000000027e-01
8.780000000000000027e-01
8.750000000000000000e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.739999999999999991e-01
8.790000000000000036e-01
8.729999999999999982e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.760000000000000009e-01
8.780000000000000027e-01
8.770000000000000018e-01
8.719999999999999973e-01
8.760000000000000009e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.780000000000000027e-01
8.770000000000000018e-01
8.770000000000000018e-01
8.750000000000000000e-01
8.770000000000000018e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.790000000000000036e-01
8.739999999999999991e-01
8.760000000000000009e-01
8.739999999999999991e-01
8.790000000000000036e-01
8.770000000000000018e-01
8.780000000000000027e-01
8.790000000000000036e-01
8.760000000000000009e-01
8.780000000000000027e-01
8.790000000000000036e-01
8.770000000000000018e-01
8.780000000000000027e-01
8.790000000000000036e-01
8.770000000000000018e-01
8.780000000000000027e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.790000000000000036e-01
8.780000000000000027e-01
8.780000000000000027e-01
8.780000000000000027e-01
8.780000000000000027e-01
8.800000000000000044e-01
8.760000000000000009e-01
8.750000000000000000e-01
8.750000000000000000e-01
8.770000000000000018e-01
8.780000000000000027e-01
8.739999999999999991e-01
8.770000000000000018e-01
8.770000000000000018e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.780000000000000027e-01
8.770000000000000018e-01
8.770000000000000018e-01
8.770000000000000018e-01
8.790000000000000036e-01
8.790000000000000036e-01
8.780000000000000027e-01
8.790000000000000036e-01
8.770000000000000018e-01
8.790000000000000036e-01
8.770000000000000018e-01
8.800000000000000044e-01
8.770000000000000018e-01
8.770000000000000018e-01
8.770000000000000018e-01
8.780000000000000027e-01
8.770000000000000018e-01
8.780000000000000027e-01
8.800000000000000044e-01
8.780000000000000027e-01
8.780000000000000027e-01
8.770000000000000018e-01
8.790000000000000036e-01
8.760000000000000009e-01
8.790000000000000036e-01
8.770000000000000018e-01
8.770000000000000018e-01
8.790000000000000036e-01
8.770000000000000018e-01
8.800000000000000044e-01
8.780000000000000027e-01
8.790000000000000036e-01
8.790000000000000036e-01
8.760000000000000009e-01
8.790000000000000036e-01
8.780000000000000027e-01
8.790000000000000036e-01
8.780000000000000027e-01
8.770000000000000018e-01
8.800000000000000044e-01
8.790000000000000036e-01
8.780000000000000027e-01
8.780000000000000027e-01
8.790000000000000036e-01
8.790000000000000036e-01
8.810000000000000053e-01
8.780000000000000027e-01
8.790000000000000036e-01
8.800000000000000044e-01
8.770000000000000018e-01
8.800000000000000044e-01
8.790000000000000036e-01
8.800000000000000044e-01
8.790000000000000036e-01
8.800000000000000044e-01
8.770000000000000018e-01
8.770000000000000018e-01
8.770000000000000018e-01
8.790000000000000036e-01
8.790000000000000036e-01
8.790000000000000036e-01
8.780000000000000027e-01
8.800000000000000044e-01
8.810000000000000053e-01
8.770000000000000018e-01
8.780000000000000027e-01
8.780000000000000027e-01
8.780000000000000027e-01
8.800000000000000044e-01
8.820000000000000062e-01
8.750000000000000000e-01
8.800000000000000044e-01
8.780000000000000027e-01
8.790000000000000036e-01
