1.000000000000000056e-01
7.029999999999999583e-01
7.459999999999999964e-01
7.640000000000000124e-01
7.770000000000000240e-01
7.780000000000000249e-01
7.760000000000000231e-01
7.930000000000000382e-01
7.950000000000000400e-01
7.990000000000000435e-01
7.990000000000000435e-01
8.050000000000000488e-01
8.149999999999999467e-01
8.139999999999999458e-01
8.129999999999999449e-01
8.199999999999999512e-01
8.229999999999999538e-01
8.209999999999999520e-01
8.269999999999999574e-01
8.249999999999999556e-01
8.269999999999999574e-01
8.329999999999999627e-01
8.319999999999999618e-01
8.349999999999999645e-01
8.299999999999999600e-01
8.299999999999999600e-01
8.259999999999999565e-01
8.309999999999999609e-01
8.349999999999999645e-01
8.369999999999999662e-01
8.379999999999999671e-01
8.339999999999999636e-01
8.389999999999999680e-01
8.349999999999999645e-01
8.339999999999999636e-01
8.279999999999999583e-01
8.369999999999999662e-01
8.409999999999999698e-01
8.389999999999999680e-01
8.379999999999999671e-01
8.429999999999999716e-01
8.379999999999999671e-01
8.419999999999999707e-01
8.429999999999999716e-01
8.369999999999999662e-01
8.459999999999999742e-01
8.389999999999999680e-01
8.429999999999999716e-01
8.429999999999999716e-01
8.469999999999999751e-01
8.449999999999999734e-01
8.459999999999999742e-01
8.459999999999999742e-01
8.409999999999999698e-01
8.449999999999999734e-01
8.529999999999999805e-01
8.469999999999999751e-01
8.529999999999999805e-01
8.569999999999999840e-01
8.479999999999999760e-01
8.559999999999999831e-01
8.539999999999999813e-01
8.469999999999999751e-01
8.529999999999999805e-01
8.569999999999999840e-01
8.559999999999999831e-01
8.529999999999999805e-01
8.559999999999999831e-01
8.569999999999999840e-01
8.589999999999999858e-01
8.579999999999999849e-01
8.529999999999999805e-01
8.509999999999999787e-01
8.539999999999999813e-01
8.559999999999999831e-01
8.599999999999999867e-01
8.569999999999999840e-01
8.549999999999999822e-01
8.549999999999999822e-01
8.599999999999999867e-01
8.569999999999999840e-01
8.529999999999999805e-01
8.589999999999999858e-01
8.509999999999999787e-01
8.639999999999999902e-01
8.559999999999999831e-01
8.559999999999999831e-01
8.619999999999999885e-01
8.619999999999999885e-01
8.649999999999999911e-01
8.639999999999999902e-01
8.639999999999999902e-01
8.539999999999999813e-01
8.569999999999999840e-01
8.629999999999999893e-01
8.639999999999999902e-01
8.629999999999999893e-01
8.619999999999999885e-01
8.669999999999999929e-01
8.629999999999999893e-01
8.619999999999999885e-01
8.689999999999999947e-01
8.589999999999999858e-01
8.659999999999999920e-01
8.679999999999999938e-01
8.589999999999999858e-01
8.649999999999999911e-01
8.639999999999999902e-01
8.629999999999999893e-01
8.619999999999999885e-01
8.609999999999999876e-01
8.699999999999999956e-01
8.629999999999999893e-01
8.619999999999999885e-01
8.679999999999999938e-01
8.659999999999999920e-01
8.669999999999999929e-01
8.649999999999999911e-01
8.679999999999999938e-01
8.689999999999999947e-01
8.669999999999999929e-01
8.669999999999999929e-01
8.639999999999999902e-01
8.649999999999999911e-01
8.679999999999999938e-01
8.689999999999999947e-01
8.699999999999999956e-01
8.679999999999999938e-01
8.659999999999999920e-01
8.659999999999999920e-01
8.699999999999999956e-01
8.679999999999999938e-01
8.649999999999999911e-01
8.649999999999999911e-01
8.629999999999999893e-01
8.639999999999999902e-01
8.659999999999999920e-01
8.679999999999999938e-01
8.709999999999999964e-01
8.699999999999999956e-01
8.619999999999999885e-01
8.689999999999999947e-01
8.679999999999999938e-01
8.689999999999999947e-01
8.699999999999999956e-01
8.609999999999999876e-01
8.649999999999999911e-01
8.659999999999999920e-01
8.689999999999999947e-01
8.669999999999999929e-01
8.669999999999999929e-01
8.719999999999999973e-01
8.679999999999999938e-01
8.679999999999999938e-01
8.689999999999999947e-01
8.659999999999999920e-01
8.699999999999999956e-01
8.699999999999999956e-01
8.609999999999999876e-01
8.699999999999999956e-01
8.679999999999999938e-01
8.679999999999999938e-01
8.669999999999999929e-01
8.719999999999999973e-01
8.689999999999999947e-01
8.689999999999999947e-01
8.699999999999999956e-01
8.679999999999999938e-01
8.689999999999999947e-01
8.669999999999999929e-01
8.669999999999999929e-01
8.699999999999999956e-01
8.699999999999999956e-01
8.689999999999999947e-01
8.729999999999999982e-01
8.689999999999999947e-01
8.689999999999999947e-01
8.719999999999999973e-01
8.699999999999999956e-01
8.699999999999999956e-01
8.689999999999999947e-01
8.699999999999999956e-01
8.709999999999999964e-01
8.719999999999999973e-01
8.709999999999999964e-01
8.699999999999999956e-01
8.699999999999999956e-01
8.699999999999999956e-01
8.699999999999999956e-01
8.699999999999999956e-01
8.649999999999999911e-01
8.729999999999999982e-01
8.750000000000000000e-01
8.750000000000000000e-01
8.770000000000000018e-01
8.699999999999999956e-01
8.739999999999999991e-01
8.709999999999999964e-01
8.750000000000000000e-01
8.729999999999999982e-01
8.750000000000000000e-01
8.719999999999999973e-01
8.699999999999999956e-01
8.739999999999999991e-01
8.719999999999999973e-01
8.739999999999999991e-01
8.729999999999999982e-01
8.679999999999999938e-01
8.669999999999999929e-01
8.760000000000000009e-01
8.770000000000000018e-01
8.709999999999999964e-01
8.750000000000000000e-01
8.750000000000000000e-01
8.709999999999999964e-01
8.709999999999999964e-01
8.719999999999999973e-01
8.750000000000000000e-01
8.790000000000000036e-01
8.729999999999999982e-01
8.770000000000000018e-01
8.739999999999999991e-01
8.750000000000000000e-01
8.760000000000000009e-01
8.800000000000000044e-01
8.709999999999999964e-01
8.770000000000000018e-01
8.729999999999999982e-01
8.780000000000000027e-01
8.739999999999999991e-01
8.770000000000000018e-01
8.750000000000000000e-01
8.790000000000000036e-01
8.780000000000000027e-01
8.739999999999999991e-01
8.790000000000000036e-01
8.770000000000000018e-01
8.760000000000000009e-01
8.729999999999999982e-01
8.810000000000000053e-01
8.709999999999999964e-01
8.770000000000000018e-01
8.770000000000000018e-01
8.770000000000000018e-01
8.739999999999999991e-01
8.729999999999999982e-01
8.830000000000000071e-01
8.750000000000000000e-01
8.760000000000000009e-01
8.790000000000000036e-01
8.750000000000000000e-01
8.739999999999999991e-01
8.790000000000000036e-01
8.770000000000000018e-01
8.770000000000000018e-01
8.739999999999999991e-01
8.750000000000000000e-01
8.780000000000000027e-01
8.760000000000000009e-01
8.719999999999999973e-01
8.790000000000000036e-01
8.800000000000000044e-01
8.760000000000000009e-01
8.699999999999999956e-01
8.739999999999999991e-01
8.770000000000000018e-01
8.800000000000000044e-01
8.790000000000000036e-01
8.800000000000000044e-01
8.800000000000000044e-01
8.770000000000000018e-01
8.790000000000000036e-01
8.800000000000000044e-01
8.729999999999999982e-01
8.739999999999999991e-01
8.790000000000000036e-01
8.810000000000000053e-01
8.739999999999999991e-01
8.780000000000000027e-01
8.800000000000000044e-01
8.800000000000000044e-01
8.810000000000000053e-01
8.800000000000000044e-01
8.820000000000000062e-01
8.810000000000000053e-01
8.800000000000000044e-01
8.800000000000000044e-01
8.810000000000000053e-01
8.830000000000000071e-01
8.760000000000000009e-01
8.800000000000000044e-01
8.770000000000000018e-01
8.739999999999999991e-01
8.850000000000000089e-01
8.800000000000000044e-01
8.830000000000000071e-01
8.810000000000000053e-01
8.850000000000000089e-01
8.739999999999999991e-01
8.770000000000000018e-01
8.850000000000000089e-01
8.840000000000000080e-01
8.820000000000000062e-01
8.850000000000000089e-01
8.810000000000000053e-01
8.810000000000000053e-01
8.840000000000000080e-01
8.780000000000000027e-01
8.830000000000000071e-01
8.810000000000000053e-01
8.800000000000000044e-01
8.810000000000000053e-01
8.820000000000000062e-01
8.820000000000000062e-01
8.790000000000000036e-01
8.830000000000000071e-01
8.790000000000000036e-01
8.870000000000000107e-01
8.840000000000000080e-01
8.850000000000000089e-01
8.830000000000000071e-01
8.840000000000000080e-01
8.860000000000000098e-01
8.830000000000000071e-01
8.880000000000000115e-01
8.830000000000000071e-01
8.870000000000000107e-01
8.840000000000000080e-01
8.830000000000000071e-01
8.800000000000000044e-01
8.840000000000000080e-01
8.850000000000000089e-01
8.820000000000000062e-01
8.800000000000000044e-01
8.820000000000000062e-01
8.830000000000000071e-01
8.850000000000000089e-01
8.810000000000000053e-01
8.850000000000000089e-01
8.830000000000000071e-01
8.870000000000000107e-01
8.870000000000000107e-01
8.860000000000000098e-01
8.850000000000000089e-01
8.870000000000000107e-01
8.840000000000000080e-01
8.840000000000000080e-01
8.840000000000000080e-01
8.850000000000000089e-01
8.890000000000000124e-01
8.890000000000000124e-01
8.840000000000000080e-01
8.840000000000000080e-01
8.850000000000000089e-01
8.880000000000000115e-01
